                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95188,                0.70027,                 1.0009,                0.99771,                0.99859,                 0.9944,                0.82475,                0.75043,                0.38754,                0.99918,               0.003333,               0.003333,               0.003333
                      2,                0.90055,                0.39125,                0.98558,                0.99762,                0.99865,                0.99455,                0.83005,                0.73472,                0.37736,                0.99469,              0.0060064,              0.0060064,              0.0060064
